,Modelo,Preço,Link
10,Memória RAM Notebook Gamer PUSKILL VENENO DDR3 8gb 1600mhz 1.35v PC3l-12800 Sodimm,"R$69,99",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=kHjAq0f2MjNZxhI12F4o%2Be3yT%2F9raQFfgiqmFAnKmeBsFfOQ%2Bdq9KMg%2BJAcRtJdiKDAHtAr%2BqMZ%2BQnCSYETYHj2bFeaPiY4u1IDrvNdkZbOC4hOTy6KScB9WHuMDvGR8nlExlTWua2WDUP1%2BkgVxWhWuUFmnIAOB8W%2BqunpPFCiNswj6uvR8KjD9gX13uLWvEkRewkiNqkvZ%2B72aKA%2BEJvDeNHZQg9nmKI0vhycmaQGXnu%2ByK17Cu5aXNh5krE9ifYnZN2gkIXSC49JtL9UwHy%2B11YC73X4PVqFJcy4YhlNl%2Fto7GD4kG4MQRdKrzRwDRoxie%2FZriO9YWq0FqhT30x%2Fj%2FqhVc3PXjvQroHD29FM3iFdmMCHShvT8%2BRz6KqaaZDtS79oo7pOvOQbsezzAXSROiOHtdNELpILhEIesjWK7NIa7vBw6pkJPim4j9Vqf0fZwi%2BhnubLc5l0VGVnNOJKTbXYmVWRA94I1nPOQLeUITZLnQ5Az%2FFZKMcV8ajACEycEktD1%2BKPfgtQ2SsjknLuzpvXtfuoro3rKA2eT28xFGVw%2FxWrlSKwZDdqpkscXTWDFwAtCyjvjpLWZn%2F8oMjLOO9%2FNhnOo6EkE%2FK4W%2F86z4%2F8i3sd0tyFhvFIg3V5ez%2BQ6rYWV52qNZWqkJR3%2FGozG42KiXRQe5TMXrgZW8LIq86Dn60eJ%2B%2FR9ryVIHqHi8vIL%2Bj%2BoaU491d2oyT73W%2B09H2eSmTPQKPe%2FiYHOj4Y7%2ByPODyXU54EFv87GRIVYbEN4kUpvrWw3JTuDSeugvohy75wJVoJ%2BYqDiCKnUBYp7ID%2FXVK4uCV4ge%2BxuFb5jAjSMfmJE8pqyrkoOoZwrKGFUScM%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15098%2Cmclics%2Fvariant-candidates%2B31710%2Cmclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x
11,Memória DELL 16GB DDR4-2133P RDIMM SNP1R8CRC/16G,"R$312,55",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=92wICUbrSSOZ2nZ%2B%2B9eTmchmENdOxekZilFh%2BG%2Fr4F5HREPrfg4LtjZGALiD7gpDFcrJr1Nx5QW0MLpKFkSWJjLy24MnxrARPuH%2B1IDGOus9oBB0dpb9Mx2V8EsdpJL66AEk2EU5HzTWUSsXFymgQ5fYt%2F4q%2F24GBlfvT3jSYNLkqWO2iO20%2FTiIwoC%2FqspzinI9UN816QfjZ8gSrQzaBvMO%2FfVBWPz2GWQRcuPXgA9Nqn7v7gXO7hMmTfeKeENwwKenAKjtuka%2FgC27b0l8BBlOYOIVdRX7szOh%2B%2B8F0QFg8VhfutwuiHCLRRZogcjpgpczN1aUXTs6PQkwkPUuLebfRbDykHVSkYd53jg5H4158a6sWYGBFJujUSiMh5krjNszsSzSBopEfA1Xrv3jUBYB6ROQF%2FeoJ%2FpCuuw%2FHSMEKG8FYbpjOjwSSfjc8zKqH5IY6gG%2FF8gsNsDGdpx5%2BCWDFj4AE7AqNL4OCXNIFSqfxMsfv9cocLey6OMp43FBocgGcO6nNHPeyK1sDMO2331wPrZsdSUF2KV1%2Fx%2Fzks%2BTcWDLZU5rjVWqXSLsbA3dapT80gU4xqm0xg93fwCNrU9cDvkDkDhtc3sgY0ry6LsgionocOqz9dM9qXoxFvjtVsHZLSKI9V5PtDZzHLJTSBqubDJdtlCdUM3NnG9Lg4CeLyq85Ng0Lz%2Fbmh8J3L9NVVTV81F3gz5kt%2FiCZHvkzyHxw6IMyTMFI5Qm0GKGj8yixTPRuNI6joOvFVY%2FuS6T9KsOoT%2FiHK4Y%2BHFE3B081H6jgFOAe3BUEnclDC4vvzAYZw%3D%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15098%2Cmclics%2Fvariant-candidates%2B31710%2Cmclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x
12,Memória RAM ValueRAM color verde  8GB 1 Kingston KVR1333D3N9/8G,"R$51,12",https://www.mercadolivre.com.br/memoria-ram-valueram-color-verde-8gb-1-kingston-kvr1333d3n98g/p/MLB6062317#searchVariation%3DMLB6062317%26position%3D17%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
13,Memória RAM Desktop RZX Gamer Fire Dragon DDR3 8GB 1600MHz 1.5v Pc3-12800 Dimm Preto,"R$65,55",https://www.mercadolivre.com.br/memoria-ram-desktop-rzx-gamer-fire-dragon-ddr3-8gb-1600mhz-15v-pc3-12800-dimm-preto/p/MLB14729323#searchVariation%3DMLB14729323%26position%3D4%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
14,Memória RAM ValueRAM 4GB Kingston KVR16LS11/4 PC3L-12800 CL11 1600MHz,R$34,https://www.mercadolivre.com.br/memoria-ram-valueram-4gb-kingston-kvr16ls114-pc3l-12800-cl11-1600mhz/p/MLB6062288#searchVariation%3DMLB6062288%26position%3D13%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
15,Memória RAM color verde  8GB 1 Crucial CB8GS2666,R$148,https://www.mercadolivre.com.br/memoria-ram-color-verde-8gb-1-crucial-cb8gs2666/p/MLB18928079#searchVariation%3DMLB18928079%26position%3D7%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
16,Memória Ram 4gb Ddr3 | Rise Mode | 1600mhz | Desktop,"R$53,43",https://www.mercadolivre.com.br/memoria-ram-4gb-ddr3-rise-mode-1600mhz-desktop/p/MLB37900379#searchVariation%3DMLB37900379%26position%3D16%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
17,Memória Ram 4gb Ddr3 | Rise Mode | 1600mhz | Notebook,"R$53,43",https://www.mercadolivre.com.br/memoria-ram-4gb-ddr3-rise-mode-1600mhz-notebook/p/MLB37901508#searchVariation%3DMLB37901508%26position%3D8%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
18,Memória RAM ValueRAM color verde  16GB 1 Kingston KVR32S22S8/16,R$256,https://www.mercadolivre.com.br/memoria-ram-valueram-color-verde-16gb-1-kingston-kvr32s22s816/p/MLB17544853#searchVariation%3DMLB17544853%26position%3D5%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
19,Memória RAM Vengeance color branco  32GB 2 Corsair Vengeance CMK32GX5M2B5200C40,R$940,https://www.mercadolivre.com.br/memoria-ram-vengeance-color-branco-32gb-2-corsair-vengeance-cmk32gx5m2b5200c40/p/MLB19622495#searchVariation%3DMLB19622495%26position%3D46%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
